velocity.baidu.com            	119.75.222.175
webapp.baidu.com              	10.95.36.21
maps.baidu.com                	111.202.114.105, 61.135.186.142
case.baidu.com                	10.99.209.45
mx10.baidu.com                	111.202.115.75
nginx.baidu.com               	10.36.5.156
m3.baidu.com                  	115.239.217.67, 115.239.217.68
ping.baidu.com                	220.181.112.163
dcs.baidu.com                 	10.52.102.56
lion.baidu.com                	10.242.112.16
check.baidu.com               	10.46.11.136
ocean.baidu.com               	10.26.3.48
oms.baidu.com                 	106.39.162.228
elastic.baidu.com             	111.206.37.160
darwin.baidu.com              	10.95.44.43
offline.shifen.new.bae.baidu.com	10.36.7.221, 10.81.211.74
miop.baidu.com                	10.65.211.95
sample.baidu.com              	10.42.7.162
privacy.baidu.com             	123.125.115.231
isis.baidu.com                	10.215.7.119
comic.baidu.com               	10.65.45.219
con.baidu.com                 	10.114.40.21
scp.baidu.com                 	10.99.86.52
cdc.baidu.com                 	10.26.5.60, 10.50.14.165
agile.baidu.com               	10.42.7.95
flight.baidu.com              	111.202.114.165
credit.baidu.com              	111.206.223.244
er.baidu.com                  	10.58.182.14
bar.baidu.com                 	112.80.248.165
qb.baidu.com                  	180.149.133.125
apm.baidu.com                 	111.206.223.105, 202.106.2.47
rec.baidu.com                 	10.26.3.75, 10.42.7.169
apitest.baidu.com             	10.99.29.34
skynet.baidu.com              	10.91.160.244
p2p.baidu.com                 	123.125.114.32
cst.baidu.com                 	10.23.232.96
xray.baidu.com                	111.206.223.80, 157.255.77.19
smp.baidu.com                 	10.99.72.23
i3.baidu.com                  	123.125.132.48
xinyongka.baidu.com           	111.206.223.244
cct.baidu.com                 	111.202.114.88
metis.baidu.com               	10.42.4.18
m6.baidu.com                  	61.135.186.217, 61.135.186.218
apis.baidu.com                	180.149.144.74
oak.baidu.com                 	119.75.222.180
device.baidu.com              	123.125.115.15
bao.baidu.com                 	123.125.142.73, 220.181.112.105, 220.181.33.27, 36.110.198.89
jipiao.baidu.com              	111.202.114.165
ibs.baidu.com                 	10.48.30.110
pda.baidu.com                 	61.135.186.217, 61.135.186.218
lu.baidu.com                  	115.239.217.166
zw.baidu.com                  	220.181.163.54
jira.baidu.com                	10.26.138.15, 10.65.45.121
iis.baidu.com                 	180.149.131.33
ent.baidu.com                 	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
sts.baidu.com                 	10.94.49.38
git.baidu.com                 	10.42.4.104
game.baidu.com                	180.149.131.159
sip.baidu.com                 	61.135.165.108
sp.baidu.com                  	10.143.188.18
brand.baidu.com               	117.185.16.100, 39.156.66.125
rt.baidu.com                  	10.26.3.49, 10.36.3.27
ams.baidu.com                 	10.65.3.155
hybrid.baidu.com              	180.97.34.232, 180.97.93.28
fast.baidu.com                	10.48.32.110
sitemap.baidu.com             	123.125.115.62
batman.baidu.com              	10.220.231.51
heart.baidu.com               	10.57.7.143, 10.91.160.63
s1.global.baidu.com           	103.235.46.83
img.live.baidu.com            	123.125.132.48
web.live.baidu.com            	123.125.132.48
master.nl.baidu.com           	10.42.7.180
m.ocean.baidu.com             	10.94.16.19
test.ocean.baidu.com          	10.94.227.17
api.red.baidu.com             	10.212.15.101, 10.26.25.231
cache.scm.baidu.com           	10.36.46.39
git.scm.baidu.com             	10.44.65.11
m.site.baidu.com              	111.206.37.119, 123.125.115.190, 153.37.235.51
www.site.baidu.com            	123.125.114.5
static.zt.baidu.com           	123.125.115.30
bbs.zhanzhang.baidu.com       	123.125.115.62
static.zy.baidu.com           	123.125.115.30
